"Id","Weekly_Sales"
"1_1_2012-11-02",37062.47
"1_1_2012-11-09",19119.465
"1_1_2012-11-16",19301.75
"1_1_2012-11-23",19865.77
"1_1_2012-11-30",23905.525
"1_1_2012-12-07",32401.785
"1_1_2012-12-14",45342.945
"1_1_2012-12-21",51359.99
"1_1_2012-12-28",21237.73
"1_1_2013-01-04",16275.965
"1_1_2013-01-11",16275.965
"1_1_2013-01-18",17127.05
"1_1_2013-01-25",17853.285
"1_1_2013-02-01",18419.67
"1_1_2013-02-08",23366.9166666667
"1_1_2013-02-15",40305.05
"1_1_2013-02-22",47500.5066666667
"1_1_2013-03-01",19630.53
"1_1_2013-03-08",20756.18
"1_1_2013-03-15",21154.62
"1_1_2013-03-22",21612.5833333333
"1_1_2013-03-29",23072.67
"1_1_2013-04-05",35536.46
"1_1_2013-04-12",41475.6066666667
"1_1_2013-04-19",27014.5133333333
"1_1_2013-04-26",27877.2833333333
"1_1_2013-05-03",24805.0333333333
"1_1_2013-05-10",18233.19
"1_1_2013-05-17",18108.6966666667
"1_1_2013-05-24",16142.5366666667
"1_1_2013-05-31",16095.1933333333
"1_1_2013-06-07",16685.91
"1_1_2013-06-14",16729.0466666667
"1_1_2013-06-21",16251.06
"1_1_2013-06-28",16214.98
"1_1_2013-07-05",15806.4866666667
"1_1_2013-07-12",17220.3333333333
"1_1_2013-07-19",16457.29
"1_1_2013-07-26",15825.0366666667
"1_2_2012-11-02",46847.525
"1_2_2012-11-09",44065.48
"1_2_2012-11-16",42720.515
"1_2_2012-11-23",44970.785
"1_2_2012-11-30",45166.58
"1_2_2012-12-07",48156.625
"1_2_2012-12-14",50220.35
"1_2_2012-12-21",62752.34
"1_2_2012-12-28",39679.885
"1_2_2013-01-04",43841.835
"1_2_2013-01-11",43841.835
"1_2_2013-01-18",41605.245
"1_2_2013-01-25",42675.21
"1_2_2013-02-01",41603.62
"1_2_2013-02-08",50585.5433333333
"1_2_2013-02-15",47619.7166666667
"1_2_2013-02-22",47738.8066666667
"1_2_2013-03-01",45846.08
"1_2_2013-03-08",51347.3433333333
"1_2_2013-03-15",46927.1166666667
"1_2_2013-03-22",45394.7033333333
"1_2_2013-03-29",43660.7066666667
"1_2_2013-04-05",46990.5866666667
"1_2_2013-04-12",48952.4666666667
"1_2_2013-04-19",44493.6466666667
"1_2_2013-04-26",45508.1733333333
"1_2_2013-05-03",45036.6466666667
"1_2_2013-05-10",49514.7433333333
"1_2_2013-05-17",44889.1733333333
"1_2_2013-05-24",44344.1633333333
"1_2_2013-05-31",45169.5666666667
"1_2_2013-06-07",48008.01
"1_2_2013-06-14",47631.0166666667
"1_2_2013-06-21",44668.6066666667
"1_2_2013-06-28",44596.91
"1_2_2013-07-05",46651.5333333333
"1_2_2013-07-12",47049.09
"1_2_2013-07-19",44004.0366666667
"1_2_2013-07-26",44995.0366666667
