"Id","Weekly_Sales"
"1_1_2012-11-02",13184.8294833056
"1_1_2012-11-09",13184.8294833056
"1_1_2012-11-16",13184.8294833056
"1_1_2012-11-23",13184.8294833056
"1_1_2012-11-30",13184.8294833056
"1_1_2012-12-07",13184.8294833056
"1_1_2012-12-14",13184.8294833056
"1_1_2012-12-21",13184.8294833056
"1_1_2012-12-28",13184.8294833056
"1_1_2013-01-04",12286.444708274
"1_1_2013-01-11",12286.444708274
"1_1_2013-01-18",13184.8294833056
"1_1_2013-01-25",13184.8294833056
"1_1_2013-02-01",13184.8294833056
"1_1_2013-02-08",13184.8294833056
"1_1_2013-02-15",13184.8294833056
"1_1_2013-02-22",13184.8294833056
"1_1_2013-03-01",13184.8294833056
"1_1_2013-03-08",13184.8294833056
"1_1_2013-03-15",13184.8294833056
"1_1_2013-03-22",13184.8294833056
"1_1_2013-03-29",13184.8294833056
"1_1_2013-04-05",13184.8294833056
"1_1_2013-04-12",13184.8294833056
"1_1_2013-04-19",13184.8294833056
"1_1_2013-04-26",13184.8294833056
"1_1_2013-05-03",13184.8294833056
"1_1_2013-05-10",13184.8294833056
"1_1_2013-05-17",13184.8294833056
"1_1_2013-05-24",13184.8294833056
"1_1_2013-05-31",13184.8294833056
"1_1_2013-06-07",13184.8294833056
"1_1_2013-06-14",13184.8294833056
"1_1_2013-06-21",13184.8294833056
"1_1_2013-06-28",13184.8294833056
"1_1_2013-07-05",13184.8294833056
"1_1_2013-07-12",13184.8294833056
"1_1_2013-07-19",13184.8294833056
"1_1_2013-07-26",13184.8294833056
"1_2_2012-11-02",13184.8294833056
"1_2_2012-11-09",13184.8294833056
"1_2_2012-11-16",13184.8294833056
"1_2_2012-11-23",13184.8294833056
"1_2_2012-11-30",13184.8294833056
"1_2_2012-12-07",13184.8294833056
"1_2_2012-12-14",13184.8294833056
"1_2_2012-12-21",13184.8294833056
"1_2_2012-12-28",13184.8294833056
"1_2_2013-01-04",12286.444708274
"1_2_2013-01-11",12286.444708274
"1_2_2013-01-18",13184.8294833056
"1_2_2013-01-25",13184.8294833056
"1_2_2013-02-01",13184.8294833056
"1_2_2013-02-08",13184.8294833056
"1_2_2013-02-15",13184.8294833056
"1_2_2013-02-22",13184.8294833056
"1_2_2013-03-01",13184.8294833056
"1_2_2013-03-08",13184.8294833056
"1_2_2013-03-15",13184.8294833056
"1_2_2013-03-22",13184.8294833056
"1_2_2013-03-29",13184.8294833056
"1_2_2013-04-05",13184.8294833056
"1_2_2013-04-12",13184.8294833056
"1_2_2013-04-19",13184.8294833056
"1_2_2013-04-26",13184.8294833056
"1_2_2013-05-03",13184.8294833056
"1_2_2013-05-10",13184.8294833056
"1_2_2013-05-17",13184.8294833056
"1_2_2013-05-24",13184.8294833056
