"Id","Weekly_Sales"
"1_1_2012-11-02",37062.47
"1_1_2012-11-09",19119.465
"1_1_2012-11-16",19301.75
"1_1_2012-11-23",19865.77
"1_1_2012-11-30",23905.525
"1_1_2012-12-07",32401.785
"1_1_2012-12-14",45342.945
"1_1_2012-12-21",51359.99
"1_1_2012-12-28",21237.73
"1_1_2013-01-04",16275.965
"1_1_2013-01-11",16275.965
"1_1_2013-01-18",17127.05
"1_1_2013-01-25",17853.285
"1_1_2013-02-01",18419.67
"1_1_2013-02-08",23510.49
"1_1_2013-02-15",37887.17
"1_1_2013-02-22",46845.87
"1_1_2013-03-01",19403.54
"1_1_2013-03-08",20327.61
"1_1_2013-03-15",21140.07
"1_1_2013-03-22",22136.64
"1_1_2013-03-29",22107.7
"1_1_2013-04-05",28952.86
"1_1_2013-04-12",42960.91
"1_1_2013-04-19",28762.37
"1_1_2013-04-26",16976.19
"1_1_2013-05-03",16555.11
"1_1_2013-05-10",17413.94
"1_1_2013-05-17",18164.2
"1_1_2013-05-24",15136.78
"1_1_2013-05-31",15741.6
"1_1_2013-06-07",16434.15
"1_1_2013-06-14",16637.62
"1_1_2013-06-21",16216.27
"1_1_2013-06-28",16328.72
"1_1_2013-07-05",15722.82
"1_1_2013-07-12",17688.76
"1_1_2013-07-19",16566.18
"1_1_2013-07-26",15766.6
"1_2_2012-11-02",46847.525
"1_2_2012-11-09",44065.48
"1_2_2012-11-16",42720.515
"1_2_2012-11-23",44970.785
"1_2_2012-11-30",45166.58
"1_2_2012-12-07",48156.625
"1_2_2012-12-14",50220.35
"1_2_2012-12-21",62752.34
"1_2_2012-12-28",39679.885
"1_2_2013-01-04",43841.835
"1_2_2013-01-11",43841.835
"1_2_2013-01-18",41605.245
"1_2_2013-01-25",42675.21
"1_2_2013-02-01",41603.62
"1_2_2013-02-08",50605.27
"1_2_2013-02-15",47595.35
"1_2_2013-02-22",47928.89
"1_2_2013-03-01",46165.25
"1_2_2013-03-08",52608.51
"1_2_2013-03-15",48465.72
"1_2_2013-03-22",45222.3
"1_2_2013-03-29",44293.54
"1_2_2013-04-05",46991.58
"1_2_2013-04-12",48501.79
"1_2_2013-04-19",44464.74
"1_2_2013-04-26",45561.85
"1_2_2013-05-03",45456.23
"1_2_2013-05-10",50139.92
"1_2_2013-05-17",44274.15
"1_2_2013-05-24",44319.15
"1_2_2013-05-31",45072.11
"1_2_2013-06-07",47844.27
"1_2_2013-06-14",47089.54
"1_2_2013-06-21",44428.71
"1_2_2013-06-28",45299.92
"1_2_2013-07-05",47077.72
"1_2_2013-07-12",46752.12
"1_2_2013-07-19",44339.2
"1_2_2013-07-26",45108.22
"1_3_2012-11-02",9507.21
"1_3_2012-11-09",9553.205
"1_3_2012-11-16",9653.235
"1_3_2012-11-23",10012.185
"1_3_2012-11-30",10501.695
"1_3_2012-12-07",12087.665
