"Id","Weekly_Sales"
"1_1_2012-11-02",41297.855
"1_1_2012-11-09",18474.5775
"1_1_2012-11-16",18925.115
"1_1_2012-11-23",21433.99
"1_1_2012-11-30",25987.4725
"1_1_2012-12-07",33757.9875
"1_1_2012-12-14",45988.0725
"1_1_2012-12-21",44503.13
"1_1_2012-12-28",24407.455
"1_1_2013-01-04",16647.6838050707
"1_1_2013-01-11",16713.5525
"1_1_2013-01-18",16778.075
"1_1_2013-01-25",18621.0075
"1_1_2013-02-01",18357.405
"1_1_2013-02-08",22659.9116666667
"1_1_2013-02-15",35779.55
"1_1_2013-02-22",53732.7816666667
"1_1_2013-03-01",19990.87
"1_1_2013-03-08",19898.745
"1_1_2013-03-15",21202.96
"1_1_2013-03-22",21727.7033333333
"1_1_2013-03-29",21011.915
"1_1_2013-04-05",21383.675
"1_1_2013-04-12",48791.2116666667
"1_1_2013-04-19",35558.1383333333
"1_1_2013-04-26",28292.7033333333
"1_1_2013-05-03",24701.2783333333
"1_1_2013-05-10",18099.94
"1_1_2013-05-17",17727.4266666667
"1_1_2013-05-24",18014.9116666667
"1_1_2013-05-31",16786.7533333333
"1_1_2013-06-07",15939.61
"1_1_2013-06-14",17243.2366666667
"1_1_2013-06-21",16922.335
"1_1_2013-06-28",16367.325
"1_1_2013-07-05",15501.3266666667
"1_1_2013-07-12",17287.6383333333
"1_1_2013-07-19",16164.96
"1_1_2013-07-26",16318.8416666667
"1_2_2012-11-02",47546.6675
"1_2_2012-11-09",45371.965
"1_2_2012-11-16",44636.4125
"1_2_2012-11-23",43903.9925
"1_2_2012-11-30",46308.92
"1_2_2012-12-07",49957.8325
"1_2_2012-12-14",51595.955
"1_2_2012-12-21",67046.87
"1_2_2012-12-28",45469.9675
"1_2_2013-01-04",16647.6838050707
"1_2_2013-01-11",44801.1525
"1_2_2013-01-18",44227.0125
"1_2_2013-01-25",44292.54
"1_2_2013-02-01",41532.535
"1_2_2013-02-08",52444.0283333333
"1_2_2013-02-15",50568.8766666667
"1_2_2013-02-22",46817.0966666667
"1_2_2013-03-01",47239.705
"1_2_2013-03-08",53452.6083333333
"1_2_2013-03-15",49332.9916666667
"1_2_2013-03-22",47260.1183333333
"1_2_2013-03-29",45112.4466666667
"1_2_2013-04-05",46530.1766666667
"1_2_2013-04-12",51580.5416666667
"1_2_2013-04-19",43976.7266666667
"1_2_2013-04-26",46080.0433333333
"1_2_2013-05-03",44779.1116666667
"1_2_2013-05-10",50813.8883333333
"1_2_2013-05-17",46410.2483333333
"1_2_2013-05-24",44390.2033333333
"1_2_2013-05-31",45768.3416666667
"1_2_2013-06-07",47343.42
"1_2_2013-06-14",48806.0366666667
"1_2_2013-06-21",45772.9916666667
"1_2_2013-06-28",44984.45
"1_2_2013-07-05",46927.2433333333
"1_2_2013-07-12",48558.99
"1_2_2013-07-19",44040.4116666667
"1_2_2013-07-26",45167.4816666667
"1_3_2012-11-02",9030.195
"1_3_2012-11-09",10162.8575
"1_3_2012-11-16",10329.9225
"1_3_2012-11-23",8970.2475
"1_3_2012-11-30",9968.9625
"1_3_2012-12-07",13389.4925
"1_3_2012-12-14",13478.3525
"1_3_2012-12-21",14064.76
"1_3_2012-12-28",8994.015
"1_3_2013-01-04",16647.6838050707
"1_3_2013-01-11",13455.5125
"1_3_2013-01-18",13959.145
"1_3_2013-01-25",11494.365
"1_3_2013-02-01",10270.6275
"1_3_2013-02-08",11785.6366666667
"1_3_2013-02-15",12318.8183333333
"1_3_2013-02-22",10519.2316666667
"1_3_2013-03-01",10387.3983333333
"1_3_2013-03-08",11123.2016666667
"1_3_2013-03-15",11814.1733333333
"1_3_2013-03-22",8587.44333333333
"1_3_2013-03-29",7880.38166666667
"1_3_2013-04-05",8659.575
"1_3_2013-04-12",9555.26166666667
"1_3_2013-04-19",7806.29833333333
"1_3_2013-04-26",8550.885
"1_3_2013-05-03",8524.65
"1_3_2013-05-10",10790.965
"1_3_2013-05-17",10209.7766666667
"1_3_2013-05-24",8518.86833333333
"1_3_2013-05-31",8259.22666666667
"1_3_2013-06-07",7597.53666666667
"1_3_2013-06-14",8391.31166666667
"1_3_2013-06-21",7866.29
"1_3_2013-06-28",7041.215
"1_3_2013-07-05",7695.225
"1_3_2013-07-12",8164.81333333333
"1_3_2013-07-19",12505.945
"1_3_2013-07-26",19307.1883333333
"1_4_2012-11-02",39698.4125
"1_4_2012-11-09",37281.1425
"1_4_2012-11-16",37801.0725
"1_4_2012-11-23",46654.8575
"1_4_2012-11-30",38834.4
"1_4_2012-12-07",39320.56
"1_4_2012-12-14",38044.485
"1_4_2012-12-21",47759.105
"1_4_2012-12-28",37485.575
"1_4_2013-01-04",16647.6838050707
"1_4_2013-01-11",41670.25
"1_4_2013-01-18",37129.4625
"1_4_2013-01-25",33791.355
"1_4_2013-02-01",33790.9175
"1_4_2013-02-08",38860.1816666667
"1_4_2013-02-15",39320.1833333333
"1_4_2013-02-22",36480.6416666667
"1_4_2013-03-01",34577.2416666667
"1_4_2013-03-08",38350.2716666667
"1_4_2013-03-15",38743.9033333333
"1_4_2013-03-22",37705.7583333333
"1_4_2013-03-29",36447.795
"1_4_2013-04-05",36614.4766666667
"1_4_2013-04-12",41192.58
"1_4_2013-04-19",36573.315
"1_4_2013-04-26",36368.14
"1_4_2013-05-03",36682.0033333333
"1_4_2013-05-10",41329.1316666667
"1_4_2013-05-17",35414.37
"1_4_2013-05-24",34230.8
"1_4_2013-05-31",38092.13
"1_4_2013-06-07",42050.1
"1_4_2013-06-14",39965.585
"1_4_2013-06-21",38514.2533333333
"1_4_2013-06-28",37111.8166666667
"1_4_2013-07-05",38653.9266666667
"1_4_2013-07-12",43867.2216666667
"1_4_2013-07-19",37166.0816666667
"1_4_2013-07-26",37172.5966666667
"1_5_2012-11-02",33969.135
"1_5_2012-11-09",32828.59
"1_5_2012-11-16",27995.09
"1_5_2012-11-23",81635.4725
"1_5_2012-11-30",31597.3325
"1_5_2012-12-07",39848.37
"1_5_2012-12-14",39452.255
"1_5_2012-12-21",55435.7525
"1_5_2012-12-28",35656.995
"1_5_2013-01-04",16647.6838050707
"1_5_2013-01-11",23207.34
"1_5_2013-01-18",19740.67
"1_5_2013-01-25",19513.5075
"1_5_2013-02-01",21190.85
"1_5_2013-02-08",28644.835
"1_5_2013-02-15",39032.4483333333
"1_5_2013-02-22",44469.4616666667
"1_5_2013-03-01",29604.6883333333
"1_5_2013-03-08",31322.5416666667
"1_5_2013-03-15",25561.8116666667
"1_5_2013-03-22",28244.5683333333
"1_5_2013-03-29",20946.2
"1_5_2013-04-05",21531.605
"1_5_2013-04-12",28033.9633333333
"1_5_2013-04-19",21026.8366666667
"1_5_2013-04-26",17005.565
"1_5_2013-05-03",16475.35
"1_5_2013-05-10",17982.665
"1_5_2013-05-17",16778.675
"1_5_2013-05-24",17461.9966666667
"1_5_2013-05-31",18428.6183333333
"1_5_2013-06-07",16155.2516666667
"1_5_2013-06-14",23207.5083333333
"1_5_2013-06-21",20471.305
"1_5_2013-06-28",24337.0166666667
"1_5_2013-07-05",20126.9183333333
"1_5_2013-07-12",19025.2933333333
"1_5_2013-07-19",18236.5716666667
"1_5_2013-07-26",18471.9833333333
"1_6_2012-11-02",6519.54
"1_6_2012-11-09",3347.44
"1_6_2012-11-16",2424.3125
"1_6_2012-11-23",18246.365
"1_6_2012-11-30",4961.5475
"1_6_2012-12-07",6782.9975
"1_6_2012-12-14",9508.4725
"1_6_2012-12-21",16539.5075
"1_6_2012-12-28",6817.4375
"1_6_2013-01-04",16647.6838050707
"1_6_2013-01-11",4237.525
"1_6_2013-01-18",2487.185
"1_6_2013-01-25",2493.365
"1_6_2013-02-01",1261.58
"1_6_2013-02-08",3467.72333333333
"1_6_2013-02-15",6107.475
"1_6_2013-02-22",3853.95
"1_6_2013-03-01",3680.58
"1_6_2013-03-08",5977.845
"1_6_2013-03-15",3859.18333333333
"1_6_2013-03-22",3400.165
"1_6_2013-03-29",2638.73666666667
"1_6_2013-04-05",4177.88
"1_6_2013-04-12",4345.66166666667
"1_6_2013-04-19",4179.32666666667
"1_6_2013-04-26",2831.625
"1_6_2013-05-03",3409.415
"1_6_2013-05-10",5040.04333333333
"1_6_2013-05-17",3202.83666666667
"1_6_2013-05-24",6006.63666666667
"1_6_2013-05-31",5105.90166666667
"1_6_2013-06-07",3134.48833333333
"1_6_2013-06-14",4420.02333333333
"1_6_2013-06-21",3757.54333333333
"1_6_2013-06-28",4358.765
"1_6_2013-07-05",4571.07166666667
"1_6_2013-07-12",2663.01
"1_6_2013-07-19",2570.135
"1_6_2013-07-26",3175.94166666667
"1_7_2012-11-02",25444.555
"1_7_2012-11-09",27173.0125
"1_7_2012-11-16",21363.02
"1_7_2012-11-23",70780.41
"1_7_2012-11-30",29546.205
"1_7_2012-12-07",43715.04
"1_7_2012-12-14",62839.295
"1_7_2012-12-21",107453.2575
"1_7_2012-12-28",40911.7475
"1_7_2013-01-04",16647.6838050707
"1_7_2013-01-11",11093.16
"1_7_2013-01-18",8799.7475
"1_7_2013-01-25",9572.68
"1_7_2013-02-01",10545.8375
"1_7_2013-02-08",16029.865
"1_7_2013-02-15",22020.51
"1_7_2013-02-22",18893.71
"1_7_2013-03-01",18363.765
"1_7_2013-03-08",16987.4416666667
"1_7_2013-03-15",17763.59
"1_7_2013-03-22",21040.2733333333
"1_7_2013-03-29",16967.4566666667
"1_7_2013-04-05",18546.9666666667
"1_7_2013-04-12",26429.3516666667
"1_7_2013-04-19",21181.8966666667
"1_7_2013-04-26",20993.83
"1_7_2013-05-03",19444.6683333333
"1_7_2013-05-10",22185.755
"1_7_2013-05-17",23183.5716666667
"1_7_2013-05-24",17458.085
"1_7_2013-05-31",26653.6683333333
"1_7_2013-06-07",31696.92
"1_7_2013-06-14",33415.22
"1_7_2013-06-21",27856.6483333333
"1_7_2013-06-28",23759.4966666667
"1_7_2013-07-05",24215.3583333333
"1_7_2013-07-12",25906.7766666667
"1_7_2013-07-19",16513.3566666667
"1_7_2013-07-26",15769.3333333333
"1_8_2012-11-02",37153.705
"1_8_2012-11-09",33622.49
"1_8_2012-11-16",32522.1225
"1_8_2012-11-23",33029.93
"1_8_2012-11-30",35802.965
"1_8_2012-12-07",38985.765
"1_8_2012-12-14",37196.3475
