"Id","Weekly_Sales"
"1_1_2012-11-02",45533.24
"1_1_2012-11-09",17829.69
"1_1_2012-11-16",18548.48
"1_1_2012-11-23",23002.21
"1_1_2012-11-30",28069.42
"1_1_2012-12-07",35114.19
"1_1_2012-12-14",46633.2
"1_1_2012-12-21",37646.27
"1_1_2012-12-28",27577.18
"1_1_2013-01-04",16786.2309241119
"1_1_2013-01-11",17151.14
"1_1_2013-01-18",16429.1
"1_1_2013-01-25",19388.73
"1_1_2013-02-01",18295.14
"1_1_2013-02-08",21952.9066666667
"1_1_2013-02-15",31254.05
"1_1_2013-02-22",59965.0566666667
"1_1_2013-03-01",20351.21
"1_1_2013-03-08",19041.31
"1_1_2013-03-15",21251.3
"1_1_2013-03-22",21842.8233333333
"1_1_2013-03-29",18951.16
"1_1_2013-04-05",7230.89000000001
"1_1_2013-04-12",56106.8166666667
"1_1_2013-04-19",44101.7633333333
"1_1_2013-04-26",28708.1233333333
"1_1_2013-05-03",24597.5233333333
"1_1_2013-05-10",17966.69
"1_1_2013-05-17",17346.1566666667
"1_1_2013-05-24",19887.2866666667
"1_1_2013-05-31",17478.3133333333
"1_1_2013-06-07",15193.31
"1_1_2013-06-14",17757.4266666667
"1_1_2013-06-21",17593.61
"1_1_2013-06-28",16519.67
"1_1_2013-07-05",15196.1666666667
"1_1_2013-07-12",17354.9433333333
"1_1_2013-07-19",15872.63
"1_1_2013-07-26",16812.6466666667
"1_2_2012-11-02",48245.81
"1_2_2012-11-09",46678.45
"1_2_2012-11-16",46552.31
"1_2_2012-11-23",42837.2
"1_2_2012-11-30",47451.26
"1_2_2012-12-07",51759.04
"1_2_2012-12-14",52971.56
"1_2_2012-12-21",71341.4
"1_2_2012-12-28",51260.05
"1_2_2013-01-04",16786.2309241119
"1_2_2013-01-11",45760.47
"1_2_2013-01-18",46848.78
"1_2_2013-01-25",45909.87
"1_2_2013-02-01",41461.45
"1_2_2013-02-08",54302.5133333333
"1_2_2013-02-15",53518.0366666667
"1_2_2013-02-22",45895.3866666667
"1_2_2013-03-01",48633.33
"1_2_2013-03-08",55557.8733333333
"1_2_2013-03-15",51738.8666666667
"1_2_2013-03-22",49125.5333333333
"1_2_2013-03-29",46564.1866666667
"1_2_2013-04-05",46069.7666666667
"1_2_2013-04-12",54208.6166666667
"1_2_2013-04-19",43459.8066666667
"1_2_2013-04-26",46651.9133333333
"1_2_2013-05-03",44521.5766666667
"1_2_2013-05-10",52113.0333333333
"1_2_2013-05-17",47931.3233333333
"1_2_2013-05-24",44436.2433333333
"1_2_2013-05-31",46367.1166666667
"1_2_2013-06-07",46678.83
"1_2_2013-06-14",49981.0566666667
"1_2_2013-06-21",46877.3766666667
"1_2_2013-06-28",45371.99
"1_2_2013-07-05",47202.9533333333
"1_2_2013-07-12",50068.89
"1_2_2013-07-19",44076.7866666667
"1_2_2013-07-26",45339.9266666667
"1_3_2012-11-02",8553.18
"1_3_2012-11-09",10772.51
"1_3_2012-11-16",11006.61
"1_3_2012-11-23",7928.31
"1_3_2012-11-30",9436.23
"1_3_2012-12-07",14691.32
"1_3_2012-12-14",14373.26
"1_3_2012-12-21",15255.4
"1_3_2012-12-28",9430.74
"1_3_2013-01-04",16786.2309241119
"1_3_2013-01-11",12043.93
"1_3_2013-01-18",14369.11
"1_3_2013-01-25",10871.22
"1_3_2013-02-01",9242.99999999999
"1_3_2013-02-08",11158.4666666667
"1_3_2013-02-15",13069.3233333333
"1_3_2013-02-22",9876.38666666667
"1_3_2013-03-01",10071.0133333333
"1_3_2013-03-08",10679.0666666667
"1_3_2013-03-15",12715.3033333333
"1_3_2013-03-22",8509.62333333333
"1_3_2013-03-29",6652.06666666667
"1_3_2013-04-05",7645.65
"1_3_2013-04-12",9133.23666666667
"1_3_2013-04-19",7156.76333333333
"1_3_2013-04-26",8440.1
"1_3_2013-05-03",8173.74
"1_3_2013-05-10",11432.24
"1_3_2013-05-17",11421.2066666667
"1_3_2013-05-24",8916.82333333333
"1_3_2013-05-31",8225.54666666667
"1_3_2013-06-07",7184.71666666667
"1_3_2013-06-14",8827.25666666667
"1_3_2013-06-21",7773.89
"1_3_2013-06-28",7396.31
"1_3_2013-07-05",7555.08
"1_3_2013-07-12",8345.33333333333
"1_3_2013-07-19",12193.37
"1_3_2013-07-26",20905.3533333333
"1_4_2012-11-02",40729.13
"1_4_2012-11-09",38645.01
"1_4_2012-11-16",38234.55
"1_4_2012-11-23",46927.01
"1_4_2012-11-30",39868.71
"1_4_2012-12-07",41094.31
"1_4_2012-12-14",37378.53
"1_4_2012-12-21",47678.63
"1_4_2012-12-28",37828.64
"1_4_2013-01-04",16786.2309241119
"1_4_2013-01-11",43903.72
"1_4_2013-01-18",38770.77
"1_4_2013-01-25",33824.82
"1_4_2013-02-01",34321.94
"1_4_2013-02-08",39020.5766666667
"1_4_2013-02-15",41297.1433333333
"1_4_2013-02-22",36342.3966666667
"1_4_2013-03-01",34724.0866666667
"1_4_2013-03-08",38537.1666666667
"1_4_2013-03-15",41876.9533333333
"1_4_2013-03-22",39709.3633333333
"1_4_2013-03-29",37805.02
"1_4_2013-04-05",36568.9866666667
"1_4_2013-04-12",44135.47
"1_4_2013-04-19",37927.85
"1_4_2013-04-26",37639.8
"1_4_2013-05-03",38410.3733333333
"1_4_2013-05-10",43693.7366666667
"1_4_2013-05-17",36505.55
"1_4_2013-05-24",33713.21
"1_4_2013-05-31",39037.12
"1_4_2013-06-07",42559.28
"1_4_2013-06-14",42237.74
"1_4_2013-06-21",40494.3633333333
"1_4_2013-06-28",38584.6266666667
"1_4_2013-07-05",38646.4566666667
"1_4_2013-07-12",46444.9766666667
"1_4_2013-07-19",38585.7066666667
"1_4_2013-07-26",37900.2666666667
"1_5_2012-11-02",40008.33
"1_5_2012-11-09",38306.41
"1_5_2012-11-16",29962.25
"1_5_2012-11-23",88521.44
"1_5_2012-11-30",28672.52
"1_5_2012-12-07",34047.09
"1_5_2012-12-14",27369.92
"1_5_2012-12-21",37291.55
"1_5_2012-12-28",37682.7
"1_5_2013-01-04",16786.2309241119
"1_5_2013-01-11",23511.93
"1_5_2013-01-18",21117.85
"1_5_2013-01-25",20158.77
"1_5_2013-02-01",20634.14
"1_5_2013-02-08",26683.86
"1_5_2013-02-15",43270.0633333333
"1_5_2013-02-22",54345.3066666667
"1_5_2013-03-01",32952.6833333333
"1_5_2013-03-08",35102.7366666667
"1_5_2013-03-15",27558.4566666667
"1_5_2013-03-22",31601.1433333333
"1_5_2013-03-29",14181.32
"1_5_2013-04-05",17743.69
"1_5_2013-04-12",32969.1433333333
"1_5_2013-04-19",24470.8666666667
"1_5_2013-04-26",12946.08
"1_5_2013-05-03",14057.34
"1_5_2013-05-10",17828.98
"1_5_2013-05-17",16971.66
"1_5_2013-05-24",18361.2766666667
"1_5_2013-05-31",19849.1533333333
"1_5_2013-06-07",13305.7466666667
"1_5_2013-06-14",24675.3233333333
"1_5_2013-06-21",21270.4
"1_5_2013-06-28",26978.3466666667
"1_5_2013-07-05",20800.0133333333
"1_5_2013-07-12",18742.7633333333
"1_5_2013-07-19",18322.2666666667
"1_5_2013-07-26",18763.4833333333
"1_6_2012-11-02",7409.07
"1_6_2012-11-09",2806.9
"1_6_2012-11-16",1774.31
"1_6_2012-11-23",17095.97
"1_6_2012-11-30",4124.3
"1_6_2012-12-07",6988.76
"1_6_2012-12-14",7966.69
"1_6_2012-12-21",9364.69999999999
"1_6_2012-12-28",7380.95
"1_6_2013-01-04",16786.2309241119
"1_6_2013-01-11",5954.35
"1_6_2013-01-18",2565.98
"1_6_2013-01-25",2691.08
"1_6_2013-02-01",98.119999999999
"1_6_2013-02-08",2583.75333333334
"1_6_2013-02-15",5209.4
"1_6_2013-02-22",2935.53
"1_6_2013-03-01",2950.33
"1_6_2013-03-08",7099.48
"1_6_2013-03-15",3141.33333333333
"1_6_2013-03-22",2900
"1_6_2013-03-29",332.986666666669
"1_6_2013-04-05",4381.71
"1_6_2013-04-12",4513.47666666667
"1_6_2013-04-19",3918.99666666667
"1_6_2013-04-26",2353.51
"1_6_2013-05-03",2701
"1_6_2013-05-10",3630.28333333334
"1_6_2013-05-17",1499.16666666667
"1_6_2013-05-24",7324.16666666667
"1_6_2013-05-31",4588.73666666667
"1_6_2013-06-07",2016.91333333333
"1_6_2013-06-14",4823.23333333333
"1_6_2013-06-21",3850.20333333333
"1_6_2013-06-28",4674.37
"1_6_2013-07-05",4687.36666666667
"1_6_2013-07-12",1583.9
"1_6_2013-07-19",1572.27
"1_6_2013-07-26",2045.18666666667
"1_7_2012-11-02",29229.34
"1_7_2012-11-09",30865
"1_7_2012-11-16",19592.6
"1_7_2012-11-23",69667.62
"1_7_2012-11-30",18829.83
"1_7_2012-12-07",31605.93
"1_7_2012-12-14",42824
"1_7_2012-12-21",71906.5799999999
"1_7_2012-12-28",48998.96
"1_7_2013-01-04",16786.2309241119
"1_7_2013-01-11",7239.35999999999
"1_7_2013-01-18",7615.16
"1_7_2013-01-25",7721.89
"1_7_2013-02-01",8498.9
"1_7_2013-02-08",13766.18
"1_7_2013-02-15",23674.88
"1_7_2013-02-22",17325.92
"1_7_2013-03-01",17730.09
"1_7_2013-03-08",15394.5466666667
"1_7_2013-03-15",15749.14
"1_7_2013-03-22",20029.4833333333
"1_7_2013-03-29",16654.6466666667
"1_7_2013-04-05",16675.1566666667
"1_7_2013-04-12",29756.7366666667
"1_7_2013-04-19",22167.9166666667
"1_7_2013-04-26",21255.09
"1_7_2013-05-03",17435.1933333333
"1_7_2013-05-10",23435.36
"1_7_2013-05-17",25316.2966666667
"1_7_2013-05-24",12684.71
"1_7_2013-05-31",22533.8633333333
"1_7_2013-06-07",25199.54
"1_7_2013-06-14",34986.27
"1_7_2013-06-21",27489.1333333333
"1_7_2013-06-28",21691.9666666667
"1_7_2013-07-05",24959.5533333333
"1_7_2013-07-12",28205.5866666667
"1_7_2013-07-19",14393.6666666667
"1_7_2013-07-26",14018.8333333333
"1_8_2012-11-02",37736.38
"1_8_2012-11-09",32479.4
"1_8_2012-11-16",30579.84
"1_8_2012-11-23",32388.17
"1_8_2012-11-30",35551.1
"1_8_2012-12-07",41264.1
"1_8_2012-12-14",37337.49
"1_8_2012-12-21",40261.16
"1_8_2012-12-28",32087.83
"1_8_2013-01-04",16786.2309241119
"1_8_2013-01-11",36994.54
"1_8_2013-01-18",33839.48
"1_8_2013-01-25",36164.84
"1_8_2013-02-01",34177.75
"1_8_2013-02-08",39974.3966666667
"1_8_2013-02-15",38204.33
"1_8_2013-02-22",35643.48
"1_8_2013-03-01",37459.2833333333
"1_8_2013-03-08",40015.3866666667
"1_8_2013-03-15",37315.13
"1_8_2013-03-22",36496.5566666667
"1_8_2013-03-29",33476.4266666667
"1_8_2013-04-05",36666.2433333333
"1_8_2013-04-12",44606.87
"1_8_2013-04-19",38541.3633333333
"1_8_2013-04-26",38221.1866666667
"1_8_2013-05-03",39539.3333333333
"1_8_2013-05-10",44309.6233333333
"1_8_2013-05-17",39757.98
"1_8_2013-05-24",39338.3766666667
"1_8_2013-05-31",40715.9733333333
"1_8_2013-06-07",43521.08
"1_8_2013-06-14",42990.4933333333
"1_8_2013-06-21",40072.8033333333
"1_8_2013-06-28",39109.0666666667
"1_8_2013-07-05",37830.99
"1_8_2013-07-12",44079.5233333333
"1_8_2013-07-19",37170.9633333333
"1_8_2013-07-26",38831.7633333333
"1_9_2012-11-02",52557.08
"1_9_2012-11-09",38172.77
"1_9_2012-11-16",30303.57
"1_9_2012-11-23",39953.41
"1_9_2012-11-30",24105.63
"1_9_2012-12-07",28809.47
"1_9_2012-12-14",35180.64
"1_9_2012-12-21",43614.86
"1_9_2012-12-28",31499.94
"1_9_2013-01-04",16786.2309241119
"1_9_2013-01-11",25278.54
"1_9_2013-01-18",17616.97
"1_9_2013-01-25",15309.63
"1_9_2013-02-01",16243.41
"1_9_2013-02-08",20882.36
"1_9_2013-02-15",22293.93
"1_9_2013-02-22",28550.2533333333
"1_9_2013-03-01",32665.9
"1_9_2013-03-08",33654.2033333333
"1_9_2013-03-15",29938.8366666667
"1_9_2013-03-22",39618.2133333333
"1_9_2013-03-29",38473.1866666667
"1_9_2013-04-05",59682.6966666667
"1_9_2013-04-12",46758.2633333333
"1_9_2013-04-19",34485.9666666667
"1_9_2013-04-26",30592.2233333333
"1_9_2013-05-03",32312.0033333333
"1_9_2013-05-10",31663.3233333333
"1_9_2013-05-17",28275.9733333333
"1_9_2013-05-24",24321.29
"1_9_2013-05-31",27978.2466666667
"1_9_2013-06-07",32722.7133333333
"1_9_2013-06-14",31630.6033333333
"1_9_2013-06-21",31434.6
"1_9_2013-06-28",29451.35
"1_9_2013-07-05",27356.2866666667
"1_9_2013-07-12",33818.2066666667
"1_9_2013-07-19",21672.8833333333
"1_9_2013-07-26",23063.6266666667
"1_10_2012-11-02",31633.49
"1_10_2012-11-09",38404.61
"1_10_2012-11-16",29960.78
"1_10_2012-11-23",30664.33
"1_10_2012-11-30",37453.94
