"Id","Weekly_Sales"
"10_55_2012-11-02",19068.4632598086
"10_13_2012-11-02",14370.8402685933
"10_44_2012-11-02",17838.133428776
"10_42_2012-11-02",17614.437095861
"10_54_2012-11-02",18956.6150933511
"10_52_2012-11-02",18732.9187604361
"10_49_2012-11-02",18397.3742610636
"10_48_2012-11-02",18285.526094606
"10_16_2012-11-02",14706.3847679659
"10_38_2012-11-02",17167.044430031
"10_94_2012-11-02",23430.5417516513
"10_35_2012-11-02",16831.4999306585
"10_93_2012-11-02",23318.6935851938
"10_14_2012-11-02",14482.6884350508
"10_5_2012-11-02",13476.0549369333
"10_12_2012-11-02",14258.9921021358
"10_32_2012-11-02",16495.955431286
"10_87_2012-11-02",22647.6045864488
"10_1_2012-11-02",13028.6622711033
"10_67_2012-11-02",20410.6412572987
"10_21_2012-11-02",15265.6256002534
"10_17_2012-11-02",14818.2329344234
"10_20_2012-11-02",15153.7774337959
"10_59_2012-11-02",19515.8559256386
"10_58_2012-11-02",19404.0077591811
"10_28_2012-11-02",16048.5627654559
"10_56_2012-11-02",19180.3114262661
"10_80_2012-11-02",21864.6674212462
"10_34_2012-11-02",16719.651764201
"10_46_2012-11-02",18061.829761691
"10_91_2012-11-02",23094.9972522788
"10_11_2012-11-02",14147.1439356783
"10_41_2012-11-02",17502.5889294035
"10_98_2012-11-02",23877.9344174813
"10_9_2012-11-02",13923.4476027633
"10_18_2012-11-02",14930.0811008809
"10_29_2012-11-02",16160.4109319134
"10_36_2012-11-02",16943.348097116
"10_19_2012-11-02",15041.9292673384
"10_26_2012-11-02",15824.8664325409
"10_7_2012-11-02",13699.7512698483
"10_95_2012-11-02",23542.3899181088
"10_33_2012-11-02",16607.8035977435
"10_74_2012-11-02",21193.5784225012
"10_23_2012-11-02",15489.3219331684
"10_85_2012-11-02",22423.9082535338
"10_71_2012-11-02",20858.0339231287
"10_22_2012-11-02",15377.4737667109
"10_83_2012-11-02",22200.2119206188
"10_60_2012-11-02",19627.7040920961
"10_6_2012-11-02",13587.9031033908
"10_37_2012-11-02",17055.1962635735
"10_81_2012-11-02",21976.5155877037
"10_79_2012-11-02",21752.8192547887
"10_96_2012-11-02",23654.2380845663
"10_3_2012-11-02",13252.3586040183
"10_92_2012-11-02",23206.8454187363
"10_50_2012-11-02",18509.2224275211
"10_72_2012-11-02",20969.8820895862
"10_31_2012-11-02",16384.1072648284
"10_90_2012-11-02",22983.1490858213
"10_82_2012-11-02",22088.3637541612
"10_40_2012-11-02",17390.740762946
"10_8_2012-11-02",13811.5994363058
"10_97_2012-11-02",23766.0862510238
"10_25_2012-11-02",15713.0182660834
"10_4_2012-11-02",13364.2067704758
"10_2_2012-11-02",13140.5104375608
"10_27_2012-11-02",15936.7145989984
"10_30_2012-11-02",16272.2590983709
"10_10_2012-11-02",14035.2957692208
"10_24_2012-11-02",15601.1700996259
"10_5_2012-11-09",13475.5195731316
"10_55_2012-11-09",19067.9278960069
"10_56_2012-11-09",19179.7760624644
"10_16_2012-11-09",14705.8494041642
"10_20_2012-11-09",15153.2420699942
"10_21_2012-11-09",15265.0902364517
"10_35_2012-11-09",16830.9645668568
"10_48_2012-11-09",18284.9907308044
"10_50_2012-11-09",18508.6870637194
"10_93_2012-11-09",23318.1582213921
"10_44_2012-11-09",17837.5980649743
"10_42_2012-11-09",17613.9017320593
"10_32_2012-11-09",16495.4200674843
"10_52_2012-11-09",18732.3833966344
"10_67_2012-11-09",20410.105893497
"10_71_2012-11-09",20857.498559327
"10_9_2012-11-09",13922.9122389616
"10_49_2012-11-09",18396.8388972619
"10_58_2012-11-09",19403.4723953794
"10_19_2012-11-09",15041.3939035367
"10_83_2012-11-09",22199.6765568171
"10_6_2012-11-09",13587.3677395891
"10_95_2012-11-09",23541.8545543071
"10_27_2012-11-09",15936.1792351967
"10_46_2012-11-09",18061.2943978893
"10_92_2012-11-09",23206.3100549346
"10_54_2012-11-09",18956.0797295494
"10_41_2012-11-09",17502.0535656018
"10_22_2012-11-09",15376.9384029092
"10_11_2012-11-09",14146.6085718766
"10_17_2012-11-09",14817.6975706217
"10_36_2012-11-09",16942.8127333143
"10_37_2012-11-09",17054.6608997718
"10_33_2012-11-09",16607.2682339418
"10_25_2012-11-09",15712.4829022817
"10_81_2012-11-09",21975.9802239021
"10_26_2012-11-09",15824.3310687392
"10_90_2012-11-09",22982.6137220196
"10_1_2012-11-09",13028.1269073016
"10_23_2012-11-09",15488.7865693667
"10_31_2012-11-09",16383.5719010268
"10_59_2012-11-09",19515.3205618369
"10_34_2012-11-09",16719.1164003993
"10_98_2012-11-09",23877.3990536796
"10_60_2012-11-09",19627.1687282944
"10_97_2012-11-09",23765.5508872221
"10_2_2012-11-09",13139.9750737591
"10_96_2012-11-09",23653.7027207646
