"Id","Weekly_Sales"
"10_55_2012-11-02",17111.208881875
"10_13_2012-11-02",12468.5033540685
"10_44_2012-11-02",15895.2621960209
"10_42_2012-11-02",15674.1809804111
"10_54_2012-11-02",17000.6682740701
"10_52_2012-11-02",16779.5870584602
"10_49_2012-11-02",16447.9652350455
"10_48_2012-11-02",16337.4246272406
"10_16_2012-11-02",12800.1251774833
"10_38_2012-11-02",15232.0185491914
"10_94_2012-11-02",21422.2925862667
"10_35_2012-11-02",14900.3967257767
"10_93_2012-11-02",21311.7519784618
"10_14_2012-11-02",12579.0439618735
"10_5_2012-11-02",11584.1784916292
"10_12_2012-11-02",12357.9627462636
"10_32_2012-11-02",14568.7749023619
"10_87_2012-11-02",20648.5083316323
"10_1_2012-11-02",11142.0160604096
"10_67_2012-11-02",18437.696175534
"10_21_2012-11-02",13352.8282165079
"10_17_2012-11-02",12910.6657852882
"10_20_2012-11-02",13242.287608703
"10_59_2012-11-02",17553.3713130947
"10_58_2012-11-02",17442.8307052897
"10_28_2012-11-02",14126.6124711423
"10_56_2012-11-02",17221.7494896799
"10_80_2012-11-02",19874.7240769979
"10_34_2012-11-02",14789.8561179718
"10_46_2012-11-02",16116.3434116308
"10_91_2012-11-02",21090.670762852
"10_11_2012-11-02",12247.4221384587
"10_41_2012-11-02",15563.6403726062
"10_98_2012-11-02",21864.4550174864
"10_9_2012-11-02",12026.3409228489
"10_18_2012-11-02",13021.2063930931
"10_29_2012-11-02",14237.1530789472
"10_36_2012-11-02",15010.9373335816
"10_19_2012-11-02",13131.747000898
"10_26_2012-11-02",13905.5312555324
"10_7_2012-11-02",11805.259707239
"10_95_2012-11-02",21532.8331940716
"10_33_2012-11-02",14679.3155101669
"10_74_2012-11-02",19211.4804301684
"10_23_2012-11-02",13573.9094321177
"10_85_2012-11-02",20427.4271160225
"10_71_2012-11-02",18879.8586067536
"10_22_2012-11-02",13463.3688243128
"10_83_2012-11-02",20206.3459004126
"10_60_2012-11-02",17663.9119208996
"10_6_2012-11-02",11694.7190994341
"10_37_2012-11-02",15121.4779413865
"10_81_2012-11-02",19985.2646848028
"10_79_2012-11-02",19764.183469193
"10_96_2012-11-02",21643.3738018765
"10_3_2012-11-02",11363.0972760194
"10_92_2012-11-02",21201.2113706569
"10_50_2012-11-02",16558.5058428504
"10_72_2012-11-02",18990.3992145586
"10_31_2012-11-02",14458.234294557
"10_90_2012-11-02",20980.130155047
"10_82_2012-11-02",20095.8052926077
"10_40_2012-11-02",15453.0997648013
"10_8_2012-11-02",11915.800315044
"10_97_2012-11-02",21753.9144096814
"10_25_2012-11-02",13794.9906477275
"10_4_2012-11-02",11473.6378838243
"10_2_2012-11-02",11252.5566682145
"10_27_2012-11-02",14016.0718633374
"10_30_2012-11-02",14347.6936867521
"10_10_2012-11-02",12136.8815306538
"10_24_2012-11-02",13684.4500399226
"10_5_2012-11-09",11427.06543255
"10_55_2012-11-09",16954.0958227958
"10_56_2012-11-09",17064.6364306007
"10_16_2012-11-09",12643.0121184041
